proxy_fusion_name.starF	type.starF	sample.starF	FusionName.starF	lex_ordered_fusion_name	est_J	est_S	proxy_fusion_name.arriba	type.arriba	sample.arriba	FusionName.arriba	sum_split_reads	discordant_mates	progs
SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704	SKBR3|TBC1D31--ZNF704	12	6.7	SKBR3|TBC1D31--ZNF704	shared	SKBR3	TBC1D31--ZNF704	11	6	starF,arriba
K562|RP11-307P5.1--SASH1	shared	K562	RP11-307P5.1--SASH1	K562|RP11-307P5.1--SASH1	12	3	K562|RP11-307P5.1--SASH1	shared	K562	RP11-307P5.1--SASH1	12	6	starF,arriba
DMS53|RP11-59N23.3--CMAS	shared	DMS53	RP11-59N23.3--CMAS	DMS53|CMAS--RP11-59N23.3	11	17	NA	NA	NA	NA	NA	NA	starF
VCAP|CSNK1G3--CTC-338M12.6	shared	VCAP	CSNK1G3--CTC-338M12.6	VCAP|CSNK1G3--CTC-338M12.6	11	2.44	NA	NA	NA	NA	NA	NA	starF
HCC1187|ALDOA--SHISA9	shared	HCC1187	ALDOA--SHISA9	HCC1187|ALDOA--SHISA9	11	2.05	NA	NA	NA	NA	NA	NA	starF
VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE	VCAP|HSF1--RERE	11	1	VCAP|HSF1--RERE	shared	VCAP	HSF1--RERE	13	1	starF,arriba
HCC1395|E2F3--PKD2	shared	HCC1395	E2F3--PKD2	HCC1395|E2F3--PKD2	11	0	NA	NA	NA	NA	NA	NA	starF
VCAP|ZNF57--LPPR2	shared	VCAP	ZNF57--LPPR2	VCAP|LPPR2--ZNF57	11	0	NA	NA	NA	NA	NA	NA	starF
HCC1395|SLMAP--AC017104.4	shared	HCC1395	SLMAP--AC017104.4	HCC1395|AC017104.4--SLMAP	10	6	NA	NA	NA	NA	NA	NA	starF
HCC1395|CALD1--AKR1B10	shared	HCC1395	CALD1--AKR1B10	HCC1395|AKR1B10--CALD1	10	5	NA	NA	NA	NA	NA	NA	starF
HCC1395|RNGTT--RPF1	shared	HCC1395	RNGTT--RPF1	HCC1395|RNGTT--RPF1	10	3	HCC1395|RNGTT--RPF1	shared	HCC1395	RNGTT--RPF1	7	3	starF,arriba
VCAP|PDE4D--FAM172A	shared	VCAP	PDE4D--FAM172A	VCAP|FAM172A--PDE4D	10	0.91	VCAP|PDE4D--FAM172A	shared	VCAP	PDE4D--FAM172A	7	1	starF,arriba
RT112|WHSC1--GRK4	shared	RT112	WHSC1--GRK4	RT112|GRK4--WHSC1	9	5.41	NA	NA	NA	NA	NA	NA	starF
HCC1187|LINC01535--EXOSC10	shared	HCC1187	LINC01535--EXOSC10	HCC1187|EXOSC10--LINC01535	9	3.54	HCC1187|LINC01535--EXOSC10	shared	HCC1187	LINC01535--EXOSC10	7	2	starF,arriba
HCC1395|PRRC2B--FUBP3	shared	HCC1395	PRRC2B--FUBP3	HCC1395|FUBP3--PRRC2B	9	0	NA	NA	NA	NA	NA	NA	starF
VCAP|RANBP17--DOCK2	shared	VCAP	RANBP17--DOCK2	VCAP|DOCK2--RANBP17	8	7	VCAP|RANBP17--DOCK2	shared	VCAP	RANBP17--DOCK2	9	5	starF,arriba
HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1	HCC1395|MFSD3--MROH1	8	6	HCC1395|MFSD3--MROH1	shared	HCC1395	MFSD3--MROH1	8	5	starF,arriba
KIJK|RP11-444D3.1--SOX5	shared	KIJK	RP11-444D3.1--SOX5	KIJK|RP11-444D3.1--SOX5	8	5.22	NA	NA	NA	NA	NA	NA	starF
HCC1187|AKAP13--PDE8A	shared	HCC1187	AKAP13--PDE8A	HCC1187|AKAP13--PDE8A	8	0	HCC1187|AKAP13--PDE8A	shared	HCC1187	AKAP13--PDE8A	8	0	starF,arriba
K562|IMMP2L--DOCK4	shared	K562	IMMP2L--DOCK4	K562|DOCK4--IMMP2L	7	5	K562|IMMP2L--DOCK4	shared	K562	IMMP2L--DOCK4	6	5	starF,arriba
VCAP|CNOT6--S100Z	shared	VCAP	CNOT6--S100Z	VCAP|CNOT6--S100Z	7	4	VCAP|CNOT6--S100Z	shared	VCAP	CNOT6--S100Z	6	4	starF,arriba
HCC1395|MDH1--LINC01278	shared	HCC1395	MDH1--LINC01278	HCC1395|LINC01278--MDH1	7	4	HCC1395|MDH1--LINC01278	shared	HCC1395	MDH1--LINC01278	7	7	starF,arriba
VCAP|ANO10--SLMAP	shared	VCAP	SLMAP--ANO10	VCAP|ANO10--SLMAP	7	2	VCAP|ANO10--SLMAP	shared	VCAP	SLMAP--ANO10	7	2	starF,arriba
SKBR3|BLOC1S6--AKAP13	shared	SKBR3	BLOC1S6--AKAP13	SKBR3|AKAP13--BLOC1S6	7	1.17	SKBR3|BLOC1S6--AKAP13	shared	SKBR3	BLOC1S6--AKAP13	6	2	starF,arriba
HCC1395|TBC1D16--AC012354.6	shared	HCC1395	TBC1D16--AC012354.6	HCC1395|AC012354.6--TBC1D16	7	0.54	HCC1395|TBC1D16--AC012354.6	shared	HCC1395	TBC1D16--AC012354.6	5	1	starF,arriba
HCC1395|HELZ--HMGB1P7	shared	HCC1395	HELZ--HMGB1P7	HCC1395|HELZ--HMGB1P7	6.87	2	HCC1395|HELZ--HMGB1P7	shared	HCC1395	HELZ--HMGB1P7	1	2	starF,arriba
K562|CCDC26--LINC00977	unique	K562	CCDC26--LINC00977	K562|CCDC26--LINC00977	6	14.7	NA	NA	NA	NA	NA	NA	starF
HCC1395|ST3GAL4--RP11-115C10.1	shared	HCC1395	ST3GAL4--RP11-115C10.1	HCC1395|RP11-115C10.1--ST3GAL4	6	7.57	NA	NA	NA	NA	NA	NA	starF
VCAP|PSMG1--UNK	shared	VCAP	PSMG1--UNK	VCAP|PSMG1--UNK	6	2.4	VCAP|PSMG1--UNK	shared	VCAP	PSMG1--UNK	6	4	starF,arriba
VCAP|NDUFAF2--MAST4	shared	VCAP	NDUFAF2--MAST4	VCAP|MAST4--NDUFAF2	6	2	VCAP|NDUFAF2--MAST4	shared	VCAP	NDUFAF2--MAST4	6	2	starF,arriba
DMS53|KIAA0232--CH507-528H12.1	shared	DMS53	KIAA0232--CH507-528H12.1	DMS53|CH507-528H12.1--KIAA0232	6	2	DMS53|KIAA0232--CH507-528H12.1	shared	DMS53	KIAA0232--CH507-528H12.1	31	14	starF,arriba
DMS53|RP4-535B20.1--JAK1	shared	DMS53	RP4-535B20.1--JAK1	DMS53|JAK1--RP4-535B20.1	6	1	NA	NA	NA	NA	NA	NA	starF
K562|CTC-786C10.1--RP11-680G10.1	unique	K562	CTC-786C10.1--RP11-680G10.1	K562|CTC-786C10.1--RP11-680G10.1	6	1	NA	NA	NA	NA	NA	NA	starF
VCAP|ADCK3--RNF187	shared	VCAP	ADCK3--RNF187	VCAP|ADCK3--RNF187	6	0	NA	NA	NA	NA	NA	NA	starF
HCC1395|RP11-83A24.2--KCNQ5	shared	HCC1395	RP11-83A24.2--KCNQ5	HCC1395|KCNQ5--RP11-83A24.2	6	0	NA	NA	NA	NA	NA	NA	starF
DMS53|WHSC1L1--RP11-101E5.1	unique	DMS53	WHSC1L1--RP11-101E5.1	DMS53|RP11-101E5.1--WHSC1L1	5.99	0	NA	NA	NA	NA	NA	NA	starF
K562|RP5-964N17.1--LRCH2	unique	K562	RP5-964N17.1--LRCH2	K562|LRCH2--RP5-964N17.1	5	2.5	NA	NA	NA	NA	NA	NA	starF
DMS53|RP11-368L12.1--RP11-96H17.1	shared	DMS53	RP11-368L12.1--RP11-96H17.1	DMS53|RP11-368L12.1--RP11-96H17.1	5	1.43	NA	NA	NA	NA	NA	NA	starF
SKBR3|EIF2B5--RP11-132N15.1	shared	SKBR3	EIF2B5--RP11-132N15.1	SKBR3|EIF2B5--RP11-132N15.1	5	1	SKBR3|EIF2B5--RP11-132N15.1	shared	SKBR3	EIF2B5--RP11-132N15.1	5	1	starF,arriba
VCAP|ZNF410--AC025918.2	shared	VCAP	ZNF410--AC025918.2	VCAP|AC025918.2--ZNF410	5	0	NA	NA	NA	NA	NA	NA	starF
HCC1395|GSKIP--RP11-661P17.1	shared	HCC1395	GSKIP--RP11-661P17.1	HCC1395|GSKIP--RP11-661P17.1	5	0	NA	NA	NA	NA	NA	NA	starF
DMS53|UBQLN2--LINC01420	shared	DMS53	UBQLN2--LINC01420	DMS53|LINC01420--UBQLN2	5	0	NA	NA	NA	NA	NA	NA	starF
HCC1187|KLK5--CDH23	shared	HCC1187	KLK5--CDH23	HCC1187|CDH23--KLK5	4	4	NA	NA	NA	NA	NA	NA	starF
SKBR3|SAMD12-AS1--COLEC10	shared	SKBR3	SAMD12-AS1--COLEC10	SKBR3|COLEC10--SAMD12-AS1	4	4	NA	NA	NA	NA	NA	NA	starF
K562|RP11-1041F24.1--RP11-587P21.2	unique	K562	RP11-1041F24.1--RP11-587P21.2	K562|RP11-1041F24.1--RP11-587P21.2	4	3	NA	NA	NA	NA	NA	NA	starF
HCC1187|TMX2--SMTNL1	shared	HCC1187	TMX2--SMTNL1	HCC1187|SMTNL1--TMX2	4	2	NA	NA	NA	NA	NA	NA	starF
SKBR3|PSMD11--NF1	shared	SKBR3	PSMD11--NF1	SKBR3|NF1--PSMD11	4	2	SKBR3|PSMD11--NF1	shared	SKBR3	PSMD11--NF1	4	2	starF,arriba
DMS53|POC1B--MGAT4C	shared	DMS53	POC1B--MGAT4C	DMS53|MGAT4C--POC1B	4	1	DMS53|POC1B--MGAT4C	shared	DMS53	POC1B--MGAT4C	6	2	starF,arriba
DMS53|PEX5L--STRADB	shared	DMS53	PEX5L--STRADB	DMS53|PEX5L--STRADB	4	1	DMS53|PEX5L--STRADB	shared	DMS53	PEX5L--STRADB	4	1	starF,arriba
HCC1395|KPNA1--EEFSEC	shared	HCC1395	KPNA1--EEFSEC	HCC1395|EEFSEC--KPNA1	4	1	HCC1395|KPNA1--EEFSEC	shared	HCC1395	KPNA1--EEFSEC	4	1	starF,arriba
SKBR3|MECOM--LMCD1-AS1	shared	SKBR3	MECOM--LMCD1-AS1	SKBR3|LMCD1-AS1--MECOM	4	1	SKBR3|MECOM--LMCD1-AS1	shared	SKBR3	MECOM--LMCD1-AS1	4	1	starF,arriba
VCAP|PDGFA--FO538757.2	shared	VCAP	PDGFA--FO538757.2	VCAP|FO538757.2--PDGFA	4	1	NA	NA	NA	NA	NA	NA	starF
K562|RP11-408A13.2--NFIB	shared	K562	RP11-408A13.2--NFIB	K562|NFIB--RP11-408A13.2	4	1	NA	NA	NA	NA	NA	NA	starF
HCC1187|B3GNTL1P2--CD2AP	shared	HCC1187	CD2AP--B3GNTL1P2	HCC1187|B3GNTL1P2--CD2AP	4	1	HCC1187|B3GNTL1P2--CD2AP	shared	HCC1187	CD2AP--B3GNTL1P2	3	1	starF,arriba
VCAP|DMGDH--JMY	unique	VCAP	JMY--DMGDH	VCAP|DMGDH--JMY	4	1	NA	NA	NA	NA	NA	NA	starF
VCAP|C16orf70--ENKD1	shared	VCAP	C16orf70--ENKD1	VCAP|C16orf70--ENKD1	4	0.67	VCAP|C16orf70--ENKD1	shared	VCAP	C16orf70--ENKD1	4	1	starF,arriba
