sample	FusionName.starF	est_J	est_S	FFPM	SpliceType	lex_ordered_fusion_name	has_long_read_support	num_LR_progs	LR_progs	FusionName.arriba	sum_split_reads	discordant_mates	progs	primary_fusion_name
MCF7	NA	NA	NA	NA	NA	MCF7|NCOA3--RP11-478L17.1(36653),RP11-110F24.1(198826)	FALSE	NA	NA	NCOA3--RP11-478L17.1(36653),RP11-110F24.1(198826)	160	0	arriba	NCOA3--RP11-478L17.1(36653),RP11-110F24.1(198826)
MCF7	NA	NA	NA	NA	NA	MCF7|DDX42--SLC2A10(4301),RN7SKP33(118685)	FALSE	NA	NA	DDX42--SLC2A10(4301),RN7SKP33(118685)	59	3	arriba	DDX42--SLC2A10(4301),RN7SKP33(118685)
MCF7	NA	NA	NA	NA	NA	MCF7|PPM1D--USP32	TRUE	2	LongGF,fusionseeker	USP32--PPM1D	54	3	arriba	USP32--PPM1D
MCF7	NA	NA	NA	NA	NA	MCF7|BCAS3--SNTN(39526),AC136289.1(23281)	FALSE	NA	NA	BCAS3--SNTN(39526),AC136289.1(23281)	44	4	arriba	BCAS3--SNTN(39526),AC136289.1(23281)
MCF7	NA	NA	NA	NA	NA	MCF7|ATP9A--RNU7-92P(41182),RP11-347D21.1(5192)	FALSE	NA	NA	ATP9A--RNU7-92P(41182),RP11-347D21.1(5192)	44	1	arriba	ATP9A--RNU7-92P(41182),RP11-347D21.1(5192)
MCF7	NA	NA	NA	NA	NA	MCF7|CD180(18305),CTD-2187J20.1(52918)--RP11-434D9.1	FALSE	NA	NA	CD180(18305),CTD-2187J20.1(52918)--RP11-434D9.1	38	1	arriba	CD180(18305),CTD-2187J20.1(52918)--RP11-434D9.1
MCF7	NA	NA	NA	NA	NA	MCF7|AGFG1--SCYGR1(4229),MIR5703(79954)	FALSE	NA	NA	AGFG1--SCYGR1(4229),MIR5703(79954)	32	2	arriba	AGFG1--SCYGR1(4229),MIR5703(79954)
MCF7	NA	NA	NA	NA	NA	MCF7|SULF2--SULF2(273),RNU7-173P(40080)	FALSE	NA	NA	SULF2(273),RNU7-173P(40080)--SULF2	32	0	arriba	SULF2(273),RNU7-173P(40080)--SULF2
MCF7	NA	NA	NA	NA	NA	MCF7|RSBN1--VAV3	TRUE	2	LongGF,fusionseeker	RSBN1--VAV3	30	0	arriba	RSBN1--VAV3
MCF7	NA	NA	NA	NA	NA	MCF7|ASB7--LINC00841(52685),RP11-20J15.2(225815)	FALSE	NA	NA	ASB7--LINC00841(52685),RP11-20J15.2(225815)	29	3	arriba	ASB7--LINC00841(52685),RP11-20J15.2(225815)
MCF7	NA	NA	NA	NA	NA	MCF7|NCOA3--RP11-478L17.1(205547),RP11-110F24.1(29932)	FALSE	NA	NA	NCOA3--RP11-478L17.1(205547),RP11-110F24.1(29932)	29	0	arriba	NCOA3--RP11-478L17.1(205547),RP11-110F24.1(29932)
MCF7	NA	NA	NA	NA	NA	MCF7|BEND7--PRPF18	TRUE	2	LongGF,fusionseeker	BEND7--PRPF18	28	2	arriba	BEND7--PRPF18
MCF7	NA	NA	NA	NA	NA	MCF7|BEND7--RP11-295P9.13	FALSE	NA	NA	BEND7--RP11-295P9.13	26	2	arriba	BEND7--RP11-295P9.13
MCF7	NA	NA	NA	NA	NA	MCF7|GCN1--MSI1	FALSE	NA	NA	GCN1--MSI1	25	1	arriba	GCN1--MSI1
MCF7	NA	NA	NA	NA	NA	MCF7|NCOA3--RP5-947P14.1(411221),RP11-478L17.1(8557)	FALSE	NA	NA	NCOA3--RP5-947P14.1(411221),RP11-478L17.1(8557)	25	0	arriba	NCOA3--RP5-947P14.1(411221),RP11-478L17.1(8557)
MCF7	NA	NA	NA	NA	NA	MCF7|BMP7--SULF2	TRUE	2	LongGF,fusionseeker	BMP7--SULF2	22	3	arriba	BMP7--SULF2
MCF7	NA	NA	NA	NA	NA	MCF7|DSCAML1--TRAPPC4	TRUE	2	LongGF,fusionseeker	TRAPPC4--DSCAML1	22	1	arriba	TRAPPC4--DSCAML1
MCF7	NA	NA	NA	NA	NA	MCF7|RPS6KB1--TRIM37	TRUE	1	fusionseeker	TRIM37--RPS6KB1	21	2	arriba	TRIM37--RPS6KB1
MCF7	NA	NA	NA	NA	NA	MCF7|AC005914.1--DENND2C	FALSE	NA	NA	DENND2C--AC005914.1	21	0	arriba	DENND2C--AC005914.1
MCF7	NA	NA	NA	NA	NA	MCF7|LINC01754(44376),RPL35AP(21511)--PREX1	FALSE	NA	NA	PREX1--LINC01754(44376),RPL35AP(21511)	18	1	arriba	PREX1--LINC01754(44376),RPL35AP(21511)
MCF7	NA	NA	NA	NA	NA	MCF7|RNA5SP484(163361),RNU2-52P(6615)--TOP1	FALSE	NA	NA	TOP1--RNA5SP484(163361),RNU2-52P(6615)	16	4	arriba	TOP1--RNA5SP484(163361),RNU2-52P(6615)
MCF7	NA	NA	NA	NA	NA	MCF7|AFF4--HSPA4	TRUE	2	LongGF,fusionseeker	AFF4--HSPA4	16	2	arriba	AFF4--HSPA4
MCF7	NA	NA	NA	NA	NA	MCF7|NCOA3--ZNF217	TRUE	4	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker	NCOA3--ZNF217	16	1	arriba	NCOA3--ZNF217
MCF7	NA	NA	NA	NA	NA	MCF7|CHEK2--CTA-292E10.6	TRUE	1	fusionseeker	CHEK2--CTA-292E10.6	14	2	arriba	CHEK2--CTA-292E10.6
MCF7	NA	NA	NA	NA	NA	MCF7|KLF12--LINC00393	FALSE	NA	NA	KLF12--LINC00393	13	1	arriba	KLF12--LINC00393
MCF7	NA	NA	NA	NA	NA	MCF7|TANC2--TLK2(939),CTD-3035K23.6(9611)	FALSE	NA	NA	TANC2--TLK2(939),CTD-3035K23.6(9611)	10	2	arriba	TANC2--TLK2(939),CTD-3035K23.6(9611)
MCF7	NA	NA	NA	NA	NA	MCF7|RNU7-6P(56534),ZFP64(90099)--SLC25A19	FALSE	NA	NA	SLC25A19--RNU7-6P(56534),ZFP64(90099)	10	1	arriba	SLC25A19--RNU7-6P(56534),ZFP64(90099)
MCF7	NA	NA	NA	NA	NA	MCF7|ADAT1--TERF2IP	TRUE	1	fusionseeker	ADAT1--TERF2IP	9	1	arriba	ADAT1--TERF2IP
MCF7	NA	NA	NA	NA	NA	MCF7|RP11-77K12.8--TERF2IP	FALSE	NA	NA	RP11-77K12.8--TERF2IP	9	0	arriba	RP11-77K12.8--TERF2IP
MCF7	NA	NA	NA	NA	NA	MCF7|H2BC20P--SV2A	FALSE	NA	NA	H2BC20P--SV2A	9	0	arriba	H2BC20P--SV2A
MCF7	NA	NA	NA	NA	NA	MCF7|RP5-1162C3.3(175040),DOK5(31011)--TRIM37	FALSE	NA	NA	TRIM37--RP5-1162C3.3(175040),DOK5(31011)	8	1	arriba	TRIM37--RP5-1162C3.3(175040),DOK5(31011)
MCF7	NA	NA	NA	NA	NA	MCF7|DHX30--EMCN	TRUE	2	LongGF,fusionseeker	DHX30--EMCN	8	0	arriba	DHX30--EMCN
MCF7	NA	NA	NA	NA	NA	MCF7|ATP9A--RP11-321P16.2	FALSE	NA	NA	ATP9A--RP11-321P16.2	8	0	arriba	ATP9A--RP11-321P16.2
MCF7	NA	NA	NA	NA	NA	MCF7|FAAH--UQCRH(17825),NSUN4(6188)	FALSE	NA	NA	FAAH--UQCRH(17825),NSUN4(6188)	7	1	arriba	FAAH--UQCRH(17825),NSUN4(6188)
MCF7	NA	NA	NA	NA	NA	MCF7|RGS17(25323),RNA5SP224(2615)--TBL1XR1	FALSE	NA	NA	TBL1XR1--RGS17(25323),RNA5SP224(2615)	7	0	arriba	TBL1XR1--RGS17(25323),RNA5SP224(2615)
MCF7	NA	NA	NA	NA	NA	MCF7|HOOK3--RP13-359K18.1(187175),RNU6-472P(17982)	FALSE	NA	NA	HOOK3--RP13-359K18.1(187175),RNU6-472P(17982)	7	0	arriba	HOOK3--RP13-359K18.1(187175),RNU6-472P(17982)
MCF7	NA	NA	NA	NA	NA	MCF7|TERF2IP(55264),RP11-2C15.1(21440)--WDR59	FALSE	NA	NA	WDR59--TERF2IP(55264),RP11-2C15.1(21440)	7	0	arriba	WDR59--TERF2IP(55264),RP11-2C15.1(21440)
MCF7	NA	NA	NA	NA	NA	MCF7|CHRNA6(2544),THAP1(37738)--POMK	FALSE	NA	NA	POMK--CHRNA6(2544),THAP1(37738)	6	0	arriba	POMK--CHRNA6(2544),THAP1(37738)
MCF7	NA	NA	NA	NA	NA	MCF7|HSPBP1--SBK3(14502),ZNF579(16729)	FALSE	NA	NA	HSPBP1--SBK3(14502),ZNF579(16729)	6	0	arriba	HSPBP1--SBK3(14502),ZNF579(16729)
MCF7	NA	NA	NA	NA	NA	MCF7|ANKHD1-EIF4EBP3--CYSTM1	FALSE	NA	NA	ANKHD1-EIF4EBP3--CYSTM1	6	0	arriba	ANKHD1-EIF4EBP3--CYSTM1
MCF7	NA	NA	NA	NA	NA	MCF7|PDLIM1--SORBS1	FALSE	NA	NA	PDLIM1--SORBS1	6	0	arriba	PDLIM1--SORBS1
MCF7	NA	NA	NA	NA	NA	MCF7|BCAS1--RP11-321P16.1(33000),RP3-453O12.1(13081)	FALSE	NA	NA	BCAS1--RP11-321P16.1(33000),RP3-453O12.1(13081)	6	0	arriba	BCAS1--RP11-321P16.1(33000),RP3-453O12.1(13081)
MCF7	NA	NA	NA	NA	NA	MCF7|PRELID3BP3(33553),RP11-180P8.1(34823)--TPD52L2	FALSE	NA	NA	TPD52L2--PRELID3BP3(33553),RP11-180P8.1(34823)	6	0	arriba	TPD52L2--PRELID3BP3(33553),RP11-180P8.1(34823)
MCF7	NA	NA	NA	NA	NA	MCF7|ABCA5(1526),ENSG10010134316.1(26363)--UNK	FALSE	NA	NA	UNK--ABCA5(1526),ENSG10010134316.1(26363)	6	0	arriba	UNK--ABCA5(1526),ENSG10010134316.1(26363)
MCF7	NA	NA	NA	NA	NA	MCF7|NCOA3--RP11-478L17.1(131284),RP11-110F24.1(104195)	FALSE	NA	NA	NCOA3--RP11-478L17.1(131284),RP11-110F24.1(104195)	6	0	arriba	NCOA3--RP11-478L17.1(131284),RP11-110F24.1(104195)
MCF7	NA	NA	NA	NA	NA	MCF7|PRELID3BP3(48054),RP11-180P8.1(20322)--TPD52L2	FALSE	NA	NA	TPD52L2--PRELID3BP3(48054),RP11-180P8.1(20322)	5	1	arriba	TPD52L2--PRELID3BP3(48054),RP11-180P8.1(20322)
MCF7	NA	NA	NA	NA	NA	MCF7|POMK--RP11-17M15.2	FALSE	NA	NA	POMK--RP11-17M15.2	5	0	arriba	POMK--RP11-17M15.2
MCF7	NA	NA	NA	NA	NA	MCF7|PTPRG--TEX14	TRUE	1	fusionseeker	TEX14--PTPRG	5	0	arriba	TEX14--PTPRG
MCF7	NA	NA	NA	NA	NA	MCF7|LRRC42--WDHD1	FALSE	NA	NA	LRRC42--WDHD1	5	0	arriba	LRRC42--WDHD1
MCF7	NA	NA	NA	NA	NA	MCF7|LINC02716(29287),SLC35C1(2427)--PRSS23	FALSE	NA	NA	PRSS23--LINC02716(29287),SLC35C1(2427)	5	0	arriba	PRSS23--LINC02716(29287),SLC35C1(2427)
MCF7	NA	NA	NA	NA	NA	MCF7|CENPO--MFSD2B	FALSE	NA	NA	CENPO--MFSD2B	4	0	arriba	CENPO--MFSD2B
MCF7	NA	NA	NA	NA	NA	MCF7|FNDC3B--PLOD2	TRUE	2	LongGF,fusionseeker	FNDC3B--PLOD2	4	0	arriba	FNDC3B--PLOD2
MCF7	NA	NA	NA	NA	NA	MCF7|FNDC3B--RP11-274H2.2	TRUE	1	fusionseeker	FNDC3B--RP11-274H2.2	4	0	arriba	FNDC3B--RP11-274H2.2
MCF7	NA	NA	NA	NA	NA	MCF7|PLPPR5--RP11-15E18.1	FALSE	NA	NA	RP11-15E18.1--PLPPR5	4	0	arriba	RP11-15E18.1--PLPPR5
MCF7	NA	NA	NA	NA	NA	MCF7|C8orf88--NECAB1	FALSE	NA	NA	NECAB1--C8orf88	4	0	arriba	NECAB1--C8orf88
MCF7	NA	NA	NA	NA	NA	MCF7|CADPS(23703),RP11-24H1.1(27252)--PARD6B	FALSE	NA	NA	PARD6B--CADPS(23703),RP11-24H1.1(27252)	4	0	arriba	PARD6B--CADPS(23703),RP11-24H1.1(27252)
MCF7	NA	NA	NA	NA	NA	MCF7|RP11-686L6.1--RSRC1	FALSE	NA	NA	RSRC1--RP11-686L6.1	4	0	arriba	RSRC1--RP11-686L6.1
MCF7	NA	NA	NA	NA	NA	MCF7|ARRB1--KLHL35	FALSE	NA	NA	ARRB1--KLHL35	4	0	arriba	ARRB1--KLHL35
MCF7	NA	NA	NA	NA	NA	MCF7|PKP2--PKP2(83018),ASS1P14(6043)	FALSE	NA	NA	PKP2--PKP2(83018),ASS1P14(6043)	4	0	arriba	PKP2--PKP2(83018),ASS1P14(6043)
MCF7	NA	NA	NA	NA	NA	MCF7|GABPB2--SETDB1	TRUE	3	LongGF,ctat-LR-fusion,fusionseeker	GABPB2--SETDB1	4	0	arriba	GABPB2--SETDB1
MCF7	NA	NA	NA	NA	NA	MCF7|C3orf35--LRRFIP2	TRUE	1	fusionseeker	LRRFIP2--C3orf35	3	2	arriba	LRRFIP2--C3orf35
MCF7	NA	NA	NA	NA	NA	MCF7|BBS9--KBTBD2	FALSE	NA	NA	KBTBD2--BBS9	3	1	arriba	KBTBD2--BBS9
MCF7	NA	NA	NA	NA	NA	MCF7|ANO6--RP11-267D19.1(30538),SYT10(349946)	FALSE	NA	NA	ANO6--RP11-267D19.1(30538),SYT10(349946)	3	0	arriba	ANO6--RP11-267D19.1(30538),SYT10(349946)
MCF7	NA	NA	NA	NA	NA	MCF7|KCND3--PPM1E	FALSE	NA	NA	KCND3--PPM1E	3	0	arriba	KCND3--PPM1E
MCF7	NA	NA	NA	NA	NA	MCF7|AMPD1--BCAS3	FALSE	NA	NA	BCAS3--AMPD1	3	0	arriba	BCAS3--AMPD1
MCF7	NA	NA	NA	NA	NA	MCF7|KLHL8--KLHL8(2012),RP11-529H2.1(19605)	FALSE	NA	NA	KLHL8--KLHL8(2012),RP11-529H2.1(19605)	3	0	arriba	KLHL8--KLHL8(2012),RP11-529H2.1(19605)
MCF7	NA	NA	NA	NA	NA	MCF7|RP5-1004I9.1--SRGAP2C	FALSE	NA	NA	SRGAP2C--RP5-1004I9.1	3	0	arriba	SRGAP2C--RP5-1004I9.1
MCF7	NA	NA	NA	NA	NA	MCF7|TERF2IP(73767),RP11-2C15.1(2937)--WDR59	FALSE	NA	NA	WDR59--TERF2IP(73767),RP11-2C15.1(2937)	3	0	arriba	WDR59--TERF2IP(73767),RP11-2C15.1(2937)
MCF7	NA	NA	NA	NA	NA	MCF7|IMMP2L--RP3-454M7.3	FALSE	NA	NA	IMMP2L--RP3-454M7.3	3	0	arriba	IMMP2L--RP3-454M7.3
MCF7	NA	NA	NA	NA	NA	MCF7|CH507-42P11.3(17764),LINC01669(6483)--RRP1B	FALSE	NA	NA	RRP1B--CH507-42P11.3(17764),LINC01669(6483)	3	0	arriba	RRP1B--CH507-42P11.3(17764),LINC01669(6483)
MCF7	NA	NA	NA	NA	NA	MCF7|PROCA1--PROCA1	FALSE	NA	NA	PROCA1--PROCA1	3	0	arriba	PROCA1--PROCA1
MCF7	NA	NA	NA	NA	NA	MCF7|AP4B1--RSBN1	FALSE	NA	NA	RSBN1--AP4B1	2	2	arriba	RSBN1--AP4B1
MCF7	NA	NA	NA	NA	NA	MCF7|AL163953.3--DDHD1	TRUE	1	fusionseeker	DDHD1--AL163953.3	2	1	arriba	DDHD1--AL163953.3
MCF7	NA	NA	NA	NA	NA	MCF7|PREP--RP3-359N14.3	FALSE	NA	NA	PREP--RP3-359N14.3	2	1	arriba	PREP--RP3-359N14.3
MCF7	NA	NA	NA	NA	NA	MCF7|HGSNAT--RP11-643N23.1(253494),ENSG10010137522.1(2100719)	FALSE	NA	NA	HGSNAT--RP11-643N23.1(253494),ENSG10010137522.1(2100719)	1	1	arriba	HGSNAT--RP11-643N23.1(253494),ENSG10010137522.1(2100719)
MCF7	NA	NA	NA	NA	NA	MCF7|CH507-42P11.3(23055),LINC01669(1192)--RRP1B	FALSE	NA	NA	RRP1B--CH507-42P11.3(23055),LINC01669(1192)	1	1	arriba	RRP1B--CH507-42P11.3(23055),LINC01669(1192)
